energetic,amusementparks,y
energetic,bikerentals,y
energetic,fitness,y
energetic,streetvendors,y
energetic,nightlife,y
energetic,gokarts,y
energetic,trampoline,y
energetic,paintball,y
energetic,skatingrinks,y
energetic,gun_ranges,y

adventurous,fitness,y
adventurous,fishing,y
adventurous,paddleboarding,y
adventurous,mountainbiking,y
adventurous,hiking,y
adventurous,lakes,y
adventurous,surfing,y
adventurous,parks,y
adventurous,climbing,y
adventurous,boating,y
adventurous,rafting,y

romantic,arts,y
romantic,tea,y
romantic,wineries,y
romantic,aquariums,y
romantic,beach,y
romantic,boating,y
romantic,lakes,y
romantic,restaurants,y

sophisticated, wineries, y
sophisticated, museums, y
sophisticated, culturalcenter, y
sophisticated, theater, y
sophisticated, galleries, y
sophisticated, gardens, y
sophisticated, opera, y
sophisticated, libraries, y
sophisticated, aquariums, y

chill, massage, y
chill, lounges, y
chill, comedyclubs, y
chill, bookstores, y
chill, cannabis_clinics, y
chill, tubing, y
chill, jazzandblues, y
chill, spas, y
chill, coffee, y
chill, libraries, y
chill, poolhalls, y
chill, aquariums, y

playful, amusementparks, y
playful, gokarts, y
playful, paintball, y
playful, arcades, y
playful, casinos, y
playful, festivals, y
playful, tours, y
playful, localflavor, y
playful, adultentertainment, y
playful, gaybars, y
playful, comedyclubs, y
playful, danceclubs, y
playful, karaoke, y
playful, pianobars, y
